term	term_index	mantra_index	count
अकरः	4.6.128.4.4,4.13.1.20.18	4.6.128.4,4.13.1.20	2
अकरत्	4.1.24.2.11,4.9.2.11.8	4.1.24.2,4.9.2.11	2
अकर्ताम्	4.6.141.2.6	4.6.141.2	1
अकवचः	4.11.10.22.6	4.11.10.22	1
अकामकर्शनः	4.20.21.2.14	4.20.21.2	1
अकुप्यन्तः	4.20.130.8.1	4.20.130.8	1
अकृष्टपच्ये	4.5.29.7.6	4.5.29.7	1
अक्रतुम्	4.3.25.6.9	4.3.25.6	1
अक्रत्	4.20.138.3.4	4.20.138.3	1
अक्रव्यात्	4.12.2.3.14,4.12.2.42.2	4.12.2.3,4.12.2.42	2
अक्रंसत	4.20.135.4.4	4.20.135.4	1
अक्षान् इव	4.4.16.5.16	4.4.16.5	1
अक्षिणी	4.10.9.14.13,4.11.3.2.4	4.10.9.14,4.11.3.2	2
अक्षितोतयः	4.20.59.1.10,4.20.10.1.10	4.20.59.1,4.20.10.1	2
अक्षिभुवः	4.20.136.4.11	4.20.136.4	1
अक्षु-जालाभ्याम्	4.8.8.18.11	4.8.8.18	1
अक्षुध्याः	4.7.60.6.6,4.7.60.4.5	4.7.60.6,4.7.60.4	2
अक्षुम्	4.20.128.13.3,4.9.3.8.1	4.20.128.13,4.9.3.8	2
अक्ष्योः	4.6.127.3.6,4.5.4.10.3,4.6.24.2.3	4.6.127.3,4.5.4.10,4.6.24.2	3
अक्ष्यौ	4.5.29.4.1,4.5.23.3.2,4.7.36.1.1,4.6.9.1.9,4.4.3.3.1,4.6.9.1.6	4.5.29.4,4.5.23.3,4.7.36.1,4.6.9.1,4.4.3.3,4.6.9.1	6
