अभिजिघ्रन्ती इत्यभि-जिघ्रन्ती	अभिजिघ्रन्ती इति अभि-जिघ्रन्ती,अभिजिघ्रन्ती,अभि-जिघ्रन्ती
आचरन्ती इत्या-चरन्ती	आचरन्ती इति आ-चरन्ती,आचरन्ती,आ-चरन्ती
आतुजी इत्या-तुजी	आतुजी इति आ-तुजी,आतुजी,आ-तुजी
आयजी इत्या-यजी	आयजी इति आ-यजी,आयजी,आ-यजी
इतऊती इतीतः-ऊती	इतऊती इति इतः-ऊती,इतऊती,इतः-ऊती
इरावती इतीरा-वती	इरावती इति इरा-वती,इरावती,इरा-वती
ऋतयिनी इत्यृत-यिनी	ऋतयिनी इति ऋत-यिनी,ऋतयिनी,ऋत-यिनी
ऋतवरी इत्यृत-वरी	ऋतवरी इति ऋत-वरी,ऋतवरी,ऋत-वरी
गोपती इति गो-पती	गोपती इति गो-पती,गोपती,गो-पती
घृतयोनी इति घृत-योनी	घृतयोनी इति घृत-योनी,घृतयोनी,घृत-योनी
घृतवती इति घृत-वती	घृतवती इति घृत-वती,घृतवती,घृत-वती
घृतासुती इति घृत-आसुती	घृतासुती इति घृत-आसुती,घृतासुती,घृत-आसुती
चित्रराती इति चित्र-राती	चित्रराती इति चित्र-राती,चित्रराती,चित्र-राती
तिग्महेती इति तिग्म-हेती	तिग्महेती इति तिग्म-हेती,तिग्महेती,तिग्म-हेती
दँपती इति दम्-पती	दंपती इति दम्-पती,दंपती,दम्-पती
दीद्यग्नी इति दीदि-अग्नी	दीद्यग्नी इति दीदि-अग्नी,दीद्यग्नी,दीदि-अग्नी
द्रवत्पाणी इति द्रवत्-पाणी	द्रवत्पाणी इति द्रवत्-पाणी,द्रवत्पाणी,द्रवत्-पाणी
धारयत्कवी इति धारयत्-कवी	धारयत्कवी इति धारयत्-कवी,धारयत्कवी,धारयत्-कवी
धारयत्क्षिती इति धारयत्-क्षिती	धारयत्क्षिती इति धारयत्-क्षिती,धारयत्क्षिती,धारयत्-क्षिती
धेनुमती इति धेनु-मती	धेनुमती इति धेनु-मती,धेनुमती,धेनु-मती
नृपती इति नृ-पती	नृपती इति नृ-पती,नृपती,नृ-पती
पथिरक्षी इति पथि-रक्षी	पथिरक्षी इति पथि-रक्षी,पथिरक्षी,पथि-रक्षी
पुरँधी इति पुरम्-धी	पुरंधी इति पुरम्-धी,पुरंधी,पुरम्-धी
पूर्वजावरी इति पूर्व-जावरी	पूर्वजावरी इति पूर्व-जावरी,पूर्वजावरी,पूर्व-जावरी
प्रभूती इति प्र-भूती	प्रभूती इति प्र-भूती,प्रभूती,प्र-भूती
मदपती इति मद-पती	मदपती इति मद-पती,मदपती,मद-पती
युयुजानसप्ती इति युयुजान-सप्ती	युयुजानसप्ती इति युयुजान-सप्ती,युयुजानसप्ती,युयुजान-सप्ती
रुद्रवर्तनी इति रुद्र-वर्तनी	रुद्रवर्तनी इति रुद्र-वर्तनी,रुद्रवर्तनी,रुद्र-वर्तनी
वसुधिती इति वसु-धिती	वसुधिती इति वसु-धिती,वसुधिती,वसु-धिती
वसुमती इति वसु-मती	वसुमती इति वसु-मती,वसुमती,वसु-मती
विचरन्ती इति वि-चरन्ती	विचरन्ती इति वि-चरन्ती,विचरन्ती,वि-चरन्ती
विचर्षणी इति वि-चर्षणी	विचर्षणी इति वि-चर्षणी,विचर्षणी,वि-चर्षणी
वीḻउपाणी इति वीḻउ-पाणी	वीडुपाणी इति वीडु-पाणी,वीडुपाणी,वीडु-पाणी
विवव्री इति वि-वव्री	विवव्री इति वि-वव्री,विवव्री,वि-वव्री
विश्वगूर्ती इति विश्व-गूर्ती	विश्वगूर्ती इति विश्व-गूर्ती,विश्वगूर्ती,विश्व-गूर्ती
